Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
10/06/2019 12:17:04,Deniz,Borderland Playpark,"A play-park where bored borderlings may seek refuge to play away the day. There will be a volleyball net and balls, baseball rackets, fotball, frisbees, tennis rackets, kubb and so on provided, and its open 24/7.",Games,Yes 🧸,15:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Playpark,all-day
14/06/2019 05:35:01,Verena,Your Secret Pen Pal,"Connect with a random borderling through letters alone. A pen pal friendship can be anything: to share, to fantasize, to be silly or to be earnest. It's up to you whether you ever reveal your true identity. Open 24/7 in the Post Office. ",Games,Yes 🧸,00:00:00,24:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27.",[re]connect,all-day
15/06/2019 13:07:32,Camp Carnifornication,La Belle Époque,"La Belle Époque is an absinthe themed bar. A place where you can relax and travel back in time to the golden age of absinthe. Take a break from the dancing and frolicking to enjoy a refreshing drink, engaging conversation and a warm, mysterious atmosphere.",Party/Gathering,🤷‍♀️,20:00:00,4:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Belle Époque Absinthe Bar,
18/06/2019 09:37:40,Mama vikinga,Walk of Runes,"Runes that was ones symbols of communication in the nordic countries, and among vikings, were also part of the ansient spirituality of the north. In this walk of runes we connect with the deeper meaning and energy of the runes. The walk of runes is sometimes described as the qi gong of the north.  Join us for a spiritual walk from the nordic traditions.",Workshop/Class,Yes 🧸,12:00:00,1:00:00,"Wednesday 24., Friday 26.",The FLOWer Garden,
18/06/2019 09:49:08,Slippery,Water Nation Slippery Slope Party,"Always be yourself, if you can't be a mermaid then always be a mermaid. <3 Join us for the most slippery gettogether of Borderland! Splash!",Party/Gathering,Yes 🧸,14:00:00,2:00:00,Friday 26.,"Water Nation, Elements Village",
18/06/2019 12:22:20,Aqua,An adventure in the imagination,"Partake in the greatest honey heist the world has ever seen, burn down a city trying to sneak into it, duel with haikus, or hijack loose magic from the major arcana - it’s your choice! Let’s play some super simple role-playing games and go on an adventure in our minds and fantasy together!",Games,Yes 🧸,16:00:00,1:00:00,"Tuesday 23., Thursday 25., Saturday 27.",Feywild,
18/06/2019 13:21:21,Pan,Maslow's Tent,"Flow through all the levels of Maslows Pyramid in this tent. Your basic needs will be fulfilled (food, drinks), there will be loving friends (music and hooka), but you will also be challenged (escape room), and ultimately you can reach self fulfillment by joining our lectures and activities. ",Games,Yes 🧸,15:00:00,0:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26.",Mazlows piramid,
19/06/2019 07:19:48,Andreas,Shibari stones workshop ,"1. Find a stone. 
2. Find a stick. 
3. Tie your own Borderland souvenir.

*Group size: 
Average 6 persons at the same time.
*Skill level: 
Easy. No previous experiences or talents needed.

Extra workshops could be arranged according to agreement. Maybe in your camp?
(For further tips, inspiration and questions)[
www.instagram.com/shibaristones/]",Workshop/Class,Yes 🧸,10:00:00,1:00:00,"Wednesday 24., Thursday 25., Friday 26.",Kidsville,
19/06/2019 10:43:43,Ingela,Yoga/Dance/Breathwork/Capoeira,Cocoon yourself in our **meditation** and **breathwork** workshops. Or spread your wings in **capoeira** and **yoga** workshops. Play in **ecstatic dance** with other beautiful butterflies and make a change in yourself and the world.,Workshop/Class,Yes 🧸,14:00:00,1:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Butterfly effect,
19/06/2019 10:50:20,Ingela,Cocktail Hour,"Welcome to a **blasting mini-party**, which lasts for a short time only - much like the life of a butterfly. But the time it exists, it is bubbling, alive and full of energy. ",Party/Gathering,Yes 🧸,16:00:00,2:00:00,"Monday 22., Tuesday 23., Wednesday 24., Thursday 25., Friday 26., Saturday 27., Sunday 28.",Butterfly effect,
